library_code,macro_category_code,code,name_fr,description_fr,order,status,version,franchisee_can_edit,delete_policy
IT,IT-MACRO-GOV,IT-GOV,Stratégie et gouvernance SI,"Sous-catégorie Stratégie et gouvernance SI de la bibliothèque Informatique, cybersécurité et data.",1,ACTIVE,1,True,ARCHIVE_IF_REFERENCED
IT,IT-MACRO-INFRA,IT-INFRA,"Infrastructure, réseau et télécom","Sous-catégorie Infrastructure, réseau et télécom de la bibliothèque Informatique, cybersécurité et data.",2,ACTIVE,1,True,ARCHIVE_IF_REFERENCED
IT,IT-MACRO-CYBER,IT-CYBER,Cybersécurité et continuité,"Sous-catégorie Cybersécurité et continuité de la bibliothèque Informatique, cybersécurité et data.",3,ACTIVE,1,True,ARCHIVE_IF_REFERENCED
IT,IT-MACRO-INFRA,IT-CLOUD,Cloud et collaboration,"Sous-catégorie Cloud et collaboration de la bibliothèque Informatique, cybersécurité et data.",4,ACTIVE,1,True,ARCHIVE_IF_REFERENCED
IT,IT-MACRO-DIGITAL,IT-DEV,"Développement Web, mobile et logiciels","Sous-catégorie Développement Web, mobile et logiciels de la bibliothèque Informatique, cybersécurité et data.",5,ACTIVE,1,True,ARCHIVE_IF_REFERENCED
IT,IT-MACRO-DIGITAL,IT-DATA,"Data, BI et intelligence artificielle","Sous-catégorie Data, BI et intelligence artificielle de la bibliothèque Informatique, cybersécurité et data.",6,ACTIVE,1,True,ARCHIVE_IF_REFERENCED
IT,IT-MACRO-DIGITAL,IT-SUPPORT,"Support, maintenance et infogérance","Sous-catégorie Support, maintenance et infogérance de la bibliothèque Informatique, cybersécurité et data.",7,ACTIVE,1,True,ARCHIVE_IF_REFERENCED
IT,IT-MACRO-DIGITAL,IT-IOT,"IoT, vidéosurveillance et systèmes connectés","Sous-catégorie IoT, vidéosurveillance et systèmes connectés de la bibliothèque Informatique, cybersécurité et data.",8,ACTIVE,1,True,ARCHIVE_IF_REFERENCED
COM,COM-MACRO-BRAND,COM-STRAT,Stratégie marketing et marque,"Sous-catégorie Stratégie marketing et marque de la bibliothèque Communication, marketing et création.",1,ACTIVE,1,True,ARCHIVE_IF_REFERENCED
COM,COM-MACRO-CONTENT,COM-DESIGN,Identité visuelle et design,"Sous-catégorie Identité visuelle et design de la bibliothèque Communication, marketing et création.",2,ACTIVE,1,True,ARCHIVE_IF_REFERENCED
COM,COM-MACRO-CONTENT,COM-CONTENT,Contenus et rédaction,"Sous-catégorie Contenus et rédaction de la bibliothèque Communication, marketing et création.",3,ACTIVE,1,True,ARCHIVE_IF_REFERENCED
COM,COM-MACRO-ACQ,COM-DIGITAL,Marketing digital et réseaux sociaux,"Sous-catégorie Marketing digital et réseaux sociaux de la bibliothèque Communication, marketing et création.",4,ACTIVE,1,True,ARCHIVE_IF_REFERENCED
