question_id,template_key,library_code,category_code,service_code,phase,section,order,label_fr,help_fr,answer_type,required,required_for_quote,options_json,validation_json,condition_json,data_key,weight,max_score,anomaly_code,risk_code,recommendation_code,opportunity_service_code,sensitivity,modifiable_by_franchisee,deletion_policy,requires_central_approval,status,version,origin
Q-RFQ-IT-AUDIT-SI-OBJECTIVE,RFQ_COMMON_OBJECTIVE,IT,IT-GOV,IT-AUDIT-SI,RFQ,Objectif,1,Quel est l’objectif principal attendu pour le service « Audit du système d’information et feuille de route » ?,Décrivez le résultat métier recherché et la raison de la demande.,LONG_TEXT,True,True,[],"{""min_length"": 10}",{},rfq.it_audit_si.objective,1,10,,,,,BUSINESS,True,ARCHIVE_IF_REFERENCED,False,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
Q-RFQ-IT-AUDIT-SI-CURRENT_STATE,RFQ_COMMON_CURRENT_STATE,IT,IT-GOV,IT-AUDIT-SI,RFQ,Situation actuelle,2,Quelle est votre situation actuelle concernant « Audit du système d’information et feuille de route » ?,"Décrivez les outils, prestataires, pratiques ou solutions déjà en place.",LONG_TEXT,True,True,[],"{""min_length"": 10}",{},rfq.it_audit_si.current_state,1,10,,,,,BUSINESS,True,ARCHIVE_IF_REFERENCED,False,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
Q-RFQ-IT-AUDIT-SI-SCOPE,RFQ_COMMON_SCOPE,IT,IT-GOV,IT-AUDIT-SI,RFQ,Périmètre,3,"Quel est le périmètre quantitatif exact à prendre en charge (utilisateurs, sites et applications) ?","Indiquez les volumes, sites, utilisateurs, unités ou lots concernés.",TABLE,True,True,[],{},{},rfq.it_audit_si.scope,1,10,,,,,BUSINESS,True,ARCHIVE_IF_REFERENCED,False,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
Q-RFQ-IT-AUDIT-SI-LOCATIONS,RFQ_COMMON_LOCATIONS,IT,IT-GOV,IT-AUDIT-SI,RFQ,Localisation,4,"Quels sites, villes ou zones géographiques sont concernés par « Audit du système d’information et feuille de route » ?",Ajoutez chaque site et précisez si une intervention sur place est nécessaire.,TABLE,True,True,[],{},{},rfq.it_audit_si.locations,1,10,,,,,BUSINESS,True,ARCHIVE_IF_REFERENCED,False,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
Q-RFQ-IT-AUDIT-SI-STAKEHOLDERS,RFQ_COMMON_STAKEHOLDERS,IT,IT-GOV,IT-AUDIT-SI,RFQ,Parties prenantes,5,"Quels utilisateurs, équipes, décideurs ou tiers participeront au projet ?","Indiquez les rôles, responsabilités et interlocuteurs de validation.",TABLE,True,True,[],{},{},rfq.it_audit_si.stakeholders,1,10,,,,,BUSINESS,True,ARCHIVE_IF_REFERENCED,False,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
Q-RFQ-IT-AUDIT-SI-DELIVERABLES,RFQ_COMMON_DELIVERABLES,IT,IT-GOV,IT-AUDIT-SI,RFQ,Livrables,6,Quels livrables attendez-vous précisément du prestataire ?,Sélectionnez les livrables attendus et ajoutez les éléments spécifiques.,TABLE,True,True,[],{},{},rfq.it_audit_si.deliverables,1,10,,,,,BUSINESS,True,ARCHIVE_IF_REFERENCED,False,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
Q-RFQ-IT-AUDIT-SI-DOCUMENTS,RFQ_COMMON_DOCUMENTS,IT,IT-GOV,IT-AUDIT-SI,RFQ,Documents disponibles,7,"Quels documents, données, plans, contrats, accès ou contenus pouvez-vous fournir ?",Joignez les éléments disponibles et indiquez ceux qui seront fournis plus tard.,FILE,False,False,[],{},{},rfq.it_audit_si.documents,1,10,,,,,BUSINESS,True,ARCHIVE_IF_REFERENCED,False,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
Q-RFQ-IT-AUDIT-SI-DEPENDENCIES,RFQ_COMMON_DEPENDENCIES,IT,IT-GOV,IT-AUDIT-SI,RFQ,Dépendances,8,"Quelles dépendances, intégrations, autorisations ou contributions internes peuvent influencer la mission ?","Mentionnez les autres projets, systèmes, fournisseurs ou validations nécessaires.",LONG_TEXT,False,False,[],{},{},rfq.it_audit_si.dependencies,1,10,,,,,BUSINESS,True,ARCHIVE_IF_REFERENCED,False,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
Q-RFQ-IT-AUDIT-SI-COMPLIANCE,RFQ_COMMON_COMPLIANCE,IT,IT-GOV,IT-AUDIT-SI,RFQ,Contraintes,9,"Quelles contraintes réglementaires, de confidentialité, de sécurité, de marque ou de fonctionnement doivent être respectées ?",Indiquez les normes internes et obligations particulières.,LONG_TEXT,True,True,[],"{""min_length"": 10}",{},rfq.it_audit_si.compliance,1,10,,,,,BUSINESS,True,ARCHIVE_IF_REFERENCED,False,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
Q-RFQ-IT-AUDIT-SI-TIMELINE,RFQ_COMMON_TIMELINE,IT,IT-GOV,IT-AUDIT-SI,RFQ,Calendrier,10,Quelle est la date de démarrage souhaitée et quelles sont les échéances ou étapes impératives ?,"Ajoutez les jalons, dates de validation et date finale attendue.",TABLE,True,True,[],{},{},rfq.it_audit_si.timeline,1,10,,,,,BUSINESS,True,ARCHIVE_IF_REFERENCED,False,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
