question_id,template_key,library_code,category_code,service_code,phase,section,order,label_fr,help_fr,answer_type,required,required_for_quote,options_json,validation_json,condition_json,data_key,weight,max_score,anomaly_code,risk_code,recommendation_code,opportunity_service_code,sensitivity,modifiable_by_franchisee,deletion_policy,requires_central_approval,status,version,origin
Q-DIAG-IT-BASE-01,DIAG_COMMON_MATURITY,IT,,,DIAGNOSTIC,Diagnostic général,1,"Quel est le niveau de formalisation actuel de vos pratiques dans la bibliothèque « Informatique, cybersécurité et data » ?",Répondez selon la situation réelle de votre entreprise.,SINGLE_CHOICE,True,False,"[""INEXISTANT"", ""INFORMEL"", ""PARTIEL"", ""FORMALISE"", ""MESURE_ET_AMELIORE""]",{},{},diagnostic.it.base_maturity,2,10,ANOM-IT-BASE-MATURITY,RISK-IT-BASE-MATURITY,REC-IT-BASE-MATURITY,,BUSINESS,True,ARCHIVE_IF_REFERENCED,False,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
Q-DIAG-IT-BASE-02,DIAG_COMMON_OWNER,IT,,,DIAGNOSTIC,Diagnostic général,2,Un responsable clairement identifié pilote-t-il ce domaine ?,Répondez selon la situation réelle de votre entreprise.,YES_NO,True,False,"[""YES"", ""NO"", ""UNKNOWN""]",{},{},diagnostic.it.base_owner,1,10,ANOM-IT-BASE-OWNER,RISK-IT-BASE-OWNER,REC-IT-BASE-OWNER,,BUSINESS,True,ARCHIVE_IF_REFERENCED,False,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
Q-DIAG-IT-BASE-03,DIAG_COMMON_BUDGET,IT,,,DIAGNOSTIC,Diagnostic général,3,Un budget annuel est-il défini et suivi pour ce domaine ?,Répondez selon la situation réelle de votre entreprise.,YES_NO,True,False,"[""YES"", ""NO"", ""PARTIAL""]",{},{},diagnostic.it.base_budget,1,10,ANOM-IT-BASE-BUDGET,RISK-IT-BASE-BUDGET,REC-IT-BASE-BUDGET,,BUSINESS,True,ARCHIVE_IF_REFERENCED,False,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
Q-DIAG-IT-BASE-04,DIAG_COMMON_KPI,IT,,,DIAGNOSTIC,Diagnostic général,4,Disposez-vous d’indicateurs réguliers pour mesurer la performance de ce domaine ?,Répondez selon la situation réelle de votre entreprise.,YES_NO,True,False,"[""YES"", ""NO"", ""PARTIAL""]",{},{},diagnostic.it.base_kpi,1,10,ANOM-IT-BASE-KPI,RISK-IT-BASE-KPI,REC-IT-BASE-KPI,,BUSINESS,True,ARCHIVE_IF_REFERENCED,False,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
Q-DIAG-IT-BASE-05,DIAG_COMMON_RISKS,IT,,,DIAGNOSTIC,Diagnostic général,5,"Les risques majeurs de ce domaine sont-ils identifiés, évalués et suivis ?",Répondez selon la situation réelle de votre entreprise.,YES_NO,True,False,"[""YES"", ""NO"", ""PARTIAL""]",{},{},diagnostic.it.base_risks,2,10,ANOM-IT-BASE-RISKS,RISK-IT-BASE-RISKS,REC-IT-BASE-RISKS,,BUSINESS,True,ARCHIVE_IF_REFERENCED,True,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
Q-DIAG-IT-BASE-06,DIAG_COMMON_DOCUMENTATION,IT,,,DIAGNOSTIC,Diagnostic général,6,"Les politiques, procédures et responsabilités sont-elles documentées et à jour ?",Répondez selon la situation réelle de votre entreprise.,YES_NO,True,False,"[""YES"", ""NO"", ""PARTIAL""]",{},{},diagnostic.it.base_documentation,1,10,ANOM-IT-BASE-DOCUMENTATION,RISK-IT-BASE-DOCUMENTATION,REC-IT-BASE-DOCUMENTATION,,BUSINESS,True,ARCHIVE_IF_REFERENCED,False,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
Q-DIAG-IT-BASE-07,DIAG_COMMON_TOOLS,IT,,,DIAGNOSTIC,Diagnostic général,7,Les outils utilisés répondent-ils aux besoins et communiquent-ils correctement entre eux ?,Répondez selon la situation réelle de votre entreprise.,SINGLE_CHOICE,True,False,"[""YES"", ""PARTIAL"", ""NO"", ""UNKNOWN""]",{},{},diagnostic.it.base_tools,1,10,ANOM-IT-BASE-TOOLS,RISK-IT-BASE-TOOLS,REC-IT-BASE-TOOLS,,BUSINESS,True,ARCHIVE_IF_REFERENCED,False,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
Q-DIAG-IT-BASE-08,DIAG_COMMON_SKILLS,IT,,,DIAGNOSTIC,Diagnostic général,8,Les équipes disposent-elles des compétences et ressources nécessaires ?,Répondez selon la situation réelle de votre entreprise.,SINGLE_CHOICE,True,False,"[""YES"", ""PARTIAL"", ""NO"", ""UNKNOWN""]",{},{},diagnostic.it.base_skills,1,10,ANOM-IT-BASE-SKILLS,RISK-IT-BASE-SKILLS,REC-IT-BASE-SKILLS,,BUSINESS,True,ARCHIVE_IF_REFERENCED,False,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
Q-DIAG-IT-BASE-09,DIAG_COMMON_INCIDENTS,IT,,,DIAGNOSTIC,Diagnostic général,9,"Avez-vous connu des incidents, retards, pertes ou réclamations significatifs dans ce domaine au cours des 12 derniers mois ?",Répondez selon la situation réelle de votre entreprise.,YES_NO,True,False,"[""YES"", ""NO""]",{},{},diagnostic.it.base_incidents,2,10,ANOM-IT-BASE-INCIDENTS,RISK-IT-BASE-INCIDENTS,REC-IT-BASE-INCIDENTS,,BUSINESS,True,ARCHIVE_IF_REFERENCED,False,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
Q-DIAG-IT-BASE-10,DIAG_COMMON_PRIORITY,IT,,,DIAGNOSTIC,Diagnostic général,10,Souhaitez-vous faire de ce domaine une priorité d’amélioration dans les 12 prochains mois ?,Répondez selon la situation réelle de votre entreprise.,SINGLE_CHOICE,True,False,"[""HIGH"", ""MEDIUM"", ""LOW"", ""NO""]",{},{},diagnostic.it.base_priority,1,10,ANOM-IT-BASE-PRIORITY,RISK-IT-BASE-PRIORITY,REC-IT-BASE-PRIORITY,,BUSINESS,True,ARCHIVE_IF_REFERENCED,False,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
