library_code,category_code,code,name_fr,service_type,unit_label_fr,focus_terms,volume_eligible,recurring_eligible,credit_eligible,order,macro_category_code,subcategory_code,secondary_subcategory_codes_json,description_fr,standard_deliverables_fr,standard_proof_fr,status,version,franchisee_can_create,franchisee_can_edit,franchisee_delete_policy,central_approval_flags
IT,IT-GOV,IT-AUDIT-SI,Audit du système d’information et feuille de route,AUDIT,"utilisateurs, sites et applications","[""cartographie du SI"", ""gouvernance"", ""risques prioritaires"", ""budget numérique"", ""feuille de route""]",False,False,True,1,IT-MACRO-GOV,IT-GOV,[],"Prestation structurée de audit du système d’information et feuille de route comprenant cadrage, exécution, contrôle, documentation et réception.","rapport de diagnostic, constats, priorités et plan d’action",rapport signé et restitution,ACTIVE,1,True,True,ARCHIVE_IF_REFERENCED,"[""FINANCIAL_RULES"", ""CONTRACT_CLAUSES"", ""LEGAL_TEXT"", ""PENALTIES"", ""SCORING_BLOCKERS""]"
IT,IT-GOV,IT-ARCHI,Architecture et urbanisation du système d’information,ADVISORY,applications et flux,"[""architecture actuelle"", ""flux de données"", ""interopérabilité"", ""dette technique"", ""architecture cible""]",False,False,True,2,IT-MACRO-GOV,IT-GOV,[],"Prestation structurée de architecture et urbanisation du système d’information comprenant cadrage, exécution, contrôle, documentation et réception.","analyse, recommandations, feuille de route et ateliers",livrables validés et compte rendu,ACTIVE,1,True,True,ARCHIVE_IF_REFERENCED,"[""FINANCIAL_RULES"", ""CONTRACT_CLAUSES"", ""LEGAL_TEXT"", ""PENALTIES"", ""SCORING_BLOCKERS""]"
IT,IT-INFRA,IT-NETWORK,Conception et installation réseau LAN/Wi-Fi,IMPLEMENTATION,"sites, zones et points réseau","[""couverture Wi-Fi"", ""points réseau"", ""débits attendus"", ""segmentation"", ""câblage""]",True,False,True,3,IT-MACRO-INFRA,IT-INFRA,[],"Prestation structurée de conception et installation réseau lan/wi-fi comprenant cadrage, exécution, contrôle, documentation et réception.","solution installée, configurée, testée et documentée","PV de tests, documentation et réception",ACTIVE,1,True,True,ARCHIVE_IF_REFERENCED,"[""FINANCIAL_RULES"", ""CONTRACT_CLAUSES"", ""LEGAL_TEXT"", ""PENALTIES"", ""SCORING_BLOCKERS""]"
IT,IT-INFRA,IT-FIREWALL,Déploiement de pare-feu et sécurisation réseau,IMPLEMENTATION,sites et connexions,"[""pare-feu existant"", ""VPN"", ""filtrage"", ""haute disponibilité"", ""journalisation""]",True,False,True,4,IT-MACRO-INFRA,IT-INFRA,[],"Prestation structurée de déploiement de pare-feu et sécurisation réseau comprenant cadrage, exécution, contrôle, documentation et réception.","solution installée, configurée, testée et documentée","PV de tests, documentation et réception",ACTIVE,1,True,True,ARCHIVE_IF_REFERENCED,"[""FINANCIAL_RULES"", ""CONTRACT_CLAUSES"", ""LEGAL_TEXT"", ""PENALTIES"", ""SCORING_BLOCKERS""]"
IT,IT-INFRA,IT-VOIP,"Téléphonie IP, centre d’appels et communications unifiées",IMPLEMENTATION,"postes, numéros et sites","[""nombre de postes"", ""numéros existants"", ""files d’appels"", ""enregistrement"", ""intégration CRM""]",True,False,True,5,IT-MACRO-INFRA,IT-INFRA,[],"Prestation structurée de téléphonie ip, centre d’appels et communications unifiées comprenant cadrage, exécution, contrôle, documentation et réception.","solution installée, configurée, testée et documentée","PV de tests, documentation et réception",ACTIVE,1,True,True,ARCHIVE_IF_REFERENCED,"[""FINANCIAL_RULES"", ""CONTRACT_CLAUSES"", ""LEGAL_TEXT"", ""PENALTIES"", ""SCORING_BLOCKERS""]"
IT,IT-CYBER,IT-CYBER-AUDIT,Audit de cybersécurité,AUDIT,"utilisateurs, actifs et sites","[""périmètre d’audit"", ""normes visées"", ""vulnérabilités"", ""gestion des accès"", ""plan de remédiation""]",False,False,True,6,IT-MACRO-CYBER,IT-CYBER,[],"Prestation structurée de audit de cybersécurité comprenant cadrage, exécution, contrôle, documentation et réception.","rapport de diagnostic, constats, priorités et plan d’action",rapport signé et restitution,ACTIVE,1,True,True,ARCHIVE_IF_REFERENCED,"[""FINANCIAL_RULES"", ""CONTRACT_CLAUSES"", ""LEGAL_TEXT"", ""PENALTIES"", ""SCORING_BLOCKERS""]"
IT,IT-CYBER,IT-PENTEST,"Test d’intrusion Web, mobile ou infrastructure",AUDIT,"applications, IP et environnements","[""cibles autorisées"", ""type de test"", ""fenêtre de tir"", ""règles d’engagement"", ""rapport de preuve""]",False,False,True,7,IT-MACRO-CYBER,IT-CYBER,[],"Prestation structurée de test d’intrusion web, mobile ou infrastructure comprenant cadrage, exécution, contrôle, documentation et réception.","rapport de diagnostic, constats, priorités et plan d’action",rapport signé et restitution,ACTIVE,1,True,True,ARCHIVE_IF_REFERENCED,"[""FINANCIAL_RULES"", ""CONTRACT_CLAUSES"", ""LEGAL_TEXT"", ""PENALTIES"", ""SCORING_BLOCKERS""]"
IT,IT-CYBER,IT-SOC-MDR,Supervision SOC/MDR et réponse aux incidents,MANAGED_SERVICE,"postes, serveurs et journaux","[""sources de logs"", ""couverture 24/7"", ""temps de réponse"", ""EDR/XDR"", ""escalade incident""]",True,True,True,8,IT-MACRO-CYBER,IT-CYBER,"[""IT-SUPPORT""]","Prestation structurée de supervision soc/mdr et réponse aux incidents comprenant cadrage, exécution, contrôle, documentation et réception.","service récurrent, SLA, rapports et support",rapports périodiques et tickets,ACTIVE,1,True,True,ARCHIVE_IF_REFERENCED,"[""FINANCIAL_RULES"", ""CONTRACT_CLAUSES"", ""LEGAL_TEXT"", ""PENALTIES"", ""SCORING_BLOCKERS""]"
IT,IT-CYBER,IT-BACKUP,"Sauvegarde, restauration et archivage",IMPLEMENTATION,"Go/To, postes, serveurs et sites","[""volume de données"", ""fréquence"", ""rétention"", ""RPO/RTO"", ""tests de restauration""]",True,False,True,9,IT-MACRO-CYBER,IT-CYBER,[],"Prestation structurée de sauvegarde, restauration et archivage comprenant cadrage, exécution, contrôle, documentation et réception.","solution installée, configurée, testée et documentée","PV de tests, documentation et réception",ACTIVE,1,True,True,ARCHIVE_IF_REFERENCED,"[""FINANCIAL_RULES"", ""CONTRACT_CLAUSES"", ""LEGAL_TEXT"", ""PENALTIES"", ""SCORING_BLOCKERS""]"
IT,IT-CYBER,IT-BCP-DRP,Plan de continuité et plan de reprise informatique,ADVISORY,processus et systèmes critiques,"[""processus critiques"", ""RTO"", ""RPO"", ""sites de repli"", ""exercices de crise""]",False,False,True,10,IT-MACRO-CYBER,IT-CYBER,[],"Prestation structurée de plan de continuité et plan de reprise informatique comprenant cadrage, exécution, contrôle, documentation et réception.","analyse, recommandations, feuille de route et ateliers",livrables validés et compte rendu,ACTIVE,1,True,True,ARCHIVE_IF_REFERENCED,"[""FINANCIAL_RULES"", ""CONTRACT_CLAUSES"", ""LEGAL_TEXT"", ""PENALTIES"", ""SCORING_BLOCKERS""]"
