library_code,code,name_fr,description_fr,order,status,version,franchisee_can_edit,subcategories_json
IT,IT-MACRO-GOV,"Stratégie, gouvernance et architecture","Grande catégorie Stratégie, gouvernance et architecture de la bibliothèque Informatique, cybersécurité et data.",1,ACTIVE,1,True,"[""IT-GOV""]"
IT,IT-MACRO-INFRA,"Infrastructure, cloud et communications","Grande catégorie Infrastructure, cloud et communications de la bibliothèque Informatique, cybersécurité et data.",2,ACTIVE,1,True,"[""IT-INFRA"", ""IT-CLOUD""]"
IT,IT-MACRO-CYBER,"Cybersécurité, sauvegarde et continuité","Grande catégorie Cybersécurité, sauvegarde et continuité de la bibliothèque Informatique, cybersécurité et data.",3,ACTIVE,1,True,"[""IT-CYBER""]"
IT,IT-MACRO-DIGITAL,"Applications, données et systèmes connectés","Grande catégorie Applications, données et systèmes connectés de la bibliothèque Informatique, cybersécurité et data.",4,ACTIVE,1,True,"[""IT-DEV"", ""IT-DATA"", ""IT-SUPPORT"", ""IT-IOT""]"
COM,COM-MACRO-BRAND,"Stratégie, marque et positionnement","Grande catégorie Stratégie, marque et positionnement de la bibliothèque Communication, marketing et création.",1,ACTIVE,1,True,"[""COM-STRAT""]"
COM,COM-MACRO-CONTENT,"Design, contenus et production créative","Grande catégorie Design, contenus et production créative de la bibliothèque Communication, marketing et création.",2,ACTIVE,1,True,"[""COM-DESIGN"", ""COM-CONTENT"", ""COM-AV""]"
COM,COM-MACRO-ACQ,"Marketing digital, acquisition et fidélisation","Grande catégorie Marketing digital, acquisition et fidélisation de la bibliothèque Communication, marketing et création.",3,ACTIVE,1,True,"[""COM-DIGITAL"", ""COM-ADS""]"
COM,COM-MACRO-INFLUENCE,"Relations publiques, influence et événements","Grande catégorie Relations publiques, influence et événements de la bibliothèque Communication, marketing et création.",4,ACTIVE,1,True,"[""COM-PR"", ""COM-EVENT""]"
ACC,ACC-MACRO-ACCOUNTING,"Comptabilité, clôture et fiscalité","Grande catégorie Comptabilité, clôture et fiscalité de la bibliothèque Comptabilité, fiscalité et finance.",1,ACTIVE,1,True,"[""ACC-BOOK"", ""ACC-TAX""]"
ACC,ACC-MACRO-PERF,"Performance, coûts et trésorerie","Grande catégorie Performance, coûts et trésorerie de la bibliothèque Comptabilité, fiscalité et finance.",2,ACTIVE,1,True,"[""ACC-CTRL"", ""ACC-CASH""]"
ACC,ACC-MACRO-FIN,"Financement, audit et transaction","Grande catégorie Financement, audit et transaction de la bibliothèque Comptabilité, fiscalité et finance.",3,ACTIVE,1,True,"[""ACC-FIN"", ""ACC-AUDIT""]"
ACC,ACC-MACRO-SYSTEMS,Systèmes financiers et opérations spécialisées,"Grande catégorie Systèmes financiers et opérations spécialisées de la bibliothèque Comptabilité, fiscalité et finance.",4,ACTIVE,1,True,"[""ACC-SYS"", ""ACC-SPECIAL""]"
LEGAL,LEGAL-MACRO-CORP,"Sociétés, gouvernance et partenariats","Grande catégorie Sociétés, gouvernance et partenariats de la bibliothèque Juridique, conformité et gouvernance.",1,ACTIVE,1,True,"[""LEGAL-CORP"", ""LEGAL-TRANS""]"
LEGAL,LEGAL-MACRO-CONTRACT,Contrats commerciaux et droit du travail,"Grande catégorie Contrats commerciaux et droit du travail de la bibliothèque Juridique, conformité et gouvernance.",2,ACTIVE,1,True,"[""LEGAL-CONTRACT"", ""LEGAL-LABOR""]"
LEGAL,LEGAL-MACRO-COMP,Propriété intellectuelle et conformité,"Grande catégorie Propriété intellectuelle et conformité de la bibliothèque Juridique, conformité et gouvernance.",3,ACTIVE,1,True,"[""LEGAL-IP"", ""LEGAL-COMP""]"
LEGAL,LEGAL-MACRO-DISPUTE,"Litiges, recouvrement et immobilier","Grande catégorie Litiges, recouvrement et immobilier de la bibliothèque Juridique, conformité et gouvernance.",4,ACTIVE,1,True,"[""LEGAL-DISPUTE"", ""LEGAL-REAL""]"
HR,HR-MACRO-ORG,Stratégie RH et organisation,Grande catégorie Stratégie RH et organisation de la bibliothèque Ressources humaines et formation.,1,ACTIVE,1,True,"[""HR-STRAT""]"
HR,HR-MACRO-TALENT,"Recrutement, intégration et talents","Grande catégorie Recrutement, intégration et talents de la bibliothèque Ressources humaines et formation.",2,ACTIVE,1,True,"[""HR-REC"", ""HR-PERF""]"
HR,HR-MACRO-REWARD,"Rémunération, administration et paie","Grande catégorie Rémunération, administration et paie de la bibliothèque Ressources humaines et formation.",3,ACTIVE,1,True,"[""HR-COMP"", ""HR-ADMIN""]"
HR,HR-MACRO-DEV,"Formation, relations sociales et digital RH","Grande catégorie Formation, relations sociales et digital RH de la bibliothèque Ressources humaines et formation.",4,ACTIVE,1,True,"[""HR-TRAIN"", ""HR-REL"", ""HR-DIGI""]"
INS,INS-MACRO-RISK,Audit des risques et protection des actifs,Grande catégorie Audit des risques et protection des actifs de la bibliothèque Assurance et gestion des risques.,1,ACTIVE,1,True,"[""INS-RISK"", ""INS-PROP""]"
INS,INS-MACRO-LIAB,Responsabilités et protection des personnes,Grande catégorie Responsabilités et protection des personnes de la bibliothèque Assurance et gestion des risques.,2,ACTIVE,1,True,"[""INS-LIAB"", ""INS-PEOPLE""]"
INS,INS-MACRO-SPECIAL,"Risques spécialisés, flotte et transport","Grande catégorie Risques spécialisés, flotte et transport de la bibliothèque Assurance et gestion des risques.",3,ACTIVE,1,True,"[""INS-SPEC"", ""INS-FLEET""]"
INS,INS-MACRO-PROGRAM,"Prévention, sinistres et programme d’assurance","Grande catégorie Prévention, sinistres et programme d’assurance de la bibliothèque Assurance et gestion des risques.",4,ACTIVE,1,True,"[""INS-CLAIM"", ""INS-PROGRAM""]"
LOG,LOG-MACRO-PROC,"Achats, sourcing et fournisseurs","Grande catégorie Achats, sourcing et fournisseurs de la bibliothèque Achats, logistique et supply chain.",1,ACTIVE,1,True,"[""LOG-PROC"", ""LOG-SUP""]"
LOG,LOG-MACRO-PLAN,"Dépenses, stocks et planification","Grande catégorie Dépenses, stocks et planification de la bibliothèque Achats, logistique et supply chain.",2,ACTIVE,1,True,"[""LOG-SPEND"", ""LOG-INV""]"
LOG,LOG-MACRO-OPS,"Entrepôts, transport et distribution","Grande catégorie Entrepôts, transport et distribution de la bibliothèque Achats, logistique et supply chain.",3,ACTIVE,1,True,"[""LOG-WH"", ""LOG-TRANS""]"
