question_id,template_key,library_code,category_code,service_code,phase,section,order,label_fr,help_fr,answer_type,required,required_for_quote,options_json,validation_json,condition_json,data_key,weight,max_score,anomaly_code,risk_code,recommendation_code,opportunity_service_code,sensitivity,modifiable_by_franchisee,deletion_policy,requires_central_approval,status,version,origin
Q-PROV-IT-BASE-LEGAL,PROV_COMMON_LEGAL,IT,,,PROVIDER_QUALIFICATION,Qualification générale,1,Votre entreprise est-elle administrativement active et autorisée à fournir les prestations de cette bibliothèque ?,"Cette information est utilisée pour qualifier le sous-traitant dans la bibliothèque « Informatique, cybersécurité et data ».",YES_NO,True,False,[],{},{},provider.it.base_legal,1,10,,,,,BUSINESS,True,ARCHIVE_IF_REFERENCED,True,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
Q-PROV-IT-BASE-INSURANCE,PROV_COMMON_INSURANCE,IT,,,PROVIDER_QUALIFICATION,Qualification générale,2,Disposez-vous d’une assurance responsabilité professionnelle adaptée aux services proposés ?,"Cette information est utilisée pour qualifier le sous-traitant dans la bibliothèque « Informatique, cybersécurité et data ».",YES_NO,True,False,[],{},{},provider.it.base_insurance,1,10,,,,,BUSINESS,True,ARCHIVE_IF_REFERENCED,True,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
Q-PROV-IT-BASE-TEAM,PROV_COMMON_TEAM,IT,,,PROVIDER_QUALIFICATION,Qualification générale,3,"Décrivez la taille, les rôles et l’expérience de l’équipe affectable à cette bibliothèque.","Cette information est utilisée pour qualifier le sous-traitant dans la bibliothèque « Informatique, cybersécurité et data ».",TABLE,True,False,[],{},{},provider.it.base_team,1,10,,,,,BUSINESS,True,ARCHIVE_IF_REFERENCED,False,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
Q-PROV-IT-BASE-REFERENCES,PROV_COMMON_REFERENCES,IT,,,PROVIDER_QUALIFICATION,Qualification générale,4,Fournissez au moins trois références comparables réalisées récemment.,"Cette information est utilisée pour qualifier le sous-traitant dans la bibliothèque « Informatique, cybersécurité et data ».",TABLE,True,False,[],{},{},provider.it.base_references,1,10,,,,,BUSINESS,True,ARCHIVE_IF_REFERENCED,False,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
Q-PROV-IT-BASE-CAPACITY,PROV_COMMON_CAPACITY,IT,,,PROVIDER_QUALIFICATION,Qualification générale,5,Quelle capacité mensuelle pouvez-vous garantir sans dégrader la qualité ?,"Cette information est utilisée pour qualifier le sous-traitant dans la bibliothèque « Informatique, cybersécurité et data ».",QUANTITY,True,False,[],{},{},provider.it.base_capacity,1,10,,,,,BUSINESS,True,ARCHIVE_IF_REFERENCED,False,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
Q-PROV-IT-BASE-REGIONS,PROV_COMMON_REGIONS,IT,,,PROVIDER_QUALIFICATION,Qualification générale,6,Dans quelles régions pouvez-vous intervenir sur site et à distance ?,"Cette information est utilisée pour qualifier le sous-traitant dans la bibliothèque « Informatique, cybersécurité et data ».",MULTIPLE_CHOICE,True,False,[],{},{},provider.it.base_regions,1,10,,,,,BUSINESS,True,ARCHIVE_IF_REFERENCED,False,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
Q-PROV-IT-BASE-SLA,PROV_COMMON_SLA,IT,,,PROVIDER_QUALIFICATION,Qualification générale,7,"Quels délais de réponse, démarrage, correction et support pouvez-vous garantir ?","Cette information est utilisée pour qualifier le sous-traitant dans la bibliothèque « Informatique, cybersécurité et data ».",TABLE,True,False,[],{},{},provider.it.base_sla,1,10,,,,,BUSINESS,True,ARCHIVE_IF_REFERENCED,False,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
Q-PROV-IT-BASE-QUALITY,PROV_COMMON_QUALITY,IT,,,PROVIDER_QUALIFICATION,Qualification générale,8,Quel processus de contrôle qualité appliquez-vous avant livraison ?,"Cette information est utilisée pour qualifier le sous-traitant dans la bibliothèque « Informatique, cybersécurité et data ».",LONG_TEXT,True,False,[],{},{},provider.it.base_quality,1,10,,,,,BUSINESS,True,ARCHIVE_IF_REFERENCED,False,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
Q-PROV-IT-BASE-SUBCONTRACTING,PROV_COMMON_SUBCONTRACTING,IT,,,PROVIDER_QUALIFICATION,Qualification générale,9,"Recourez-vous à de la sous-traitance secondaire et, si oui, comment la contrôlez-vous ?","Cette information est utilisée pour qualifier le sous-traitant dans la bibliothèque « Informatique, cybersécurité et data ».",LONG_TEXT,True,False,[],{},{},provider.it.base_subcontracting,1,10,,,,,BUSINESS,True,ARCHIVE_IF_REFERENCED,False,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
Q-PROV-IT-BASE-SECURITY,PROV_COMMON_SECURITY,IT,,,PROVIDER_QUALIFICATION,Qualification générale,10,"Comment protégez-vous les informations, documents et accès confiés par les clients ?","Cette information est utilisée pour qualifier le sous-traitant dans la bibliothèque « Informatique, cybersécurité et data ».",LONG_TEXT,True,False,[],{},{},provider.it.base_security,1,10,,,,,BUSINESS,True,ARCHIVE_IF_REFERENCED,True,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
Q-PROV-IT-AUDIT-SI-EXPERIENCE,PROV_SERVICE_EXPERIENCE,IT,IT-GOV,IT-AUDIT-SI,PROVIDER_QUALIFICATION,Qualification par service,11,"Présentez votre expérience, vos références, votre équipe et votre capacité pour le service « Audit du système d’information et feuille de route ».","Joignez des preuves et indiquez le volume maximal que vous pouvez réaliser en utilisateurs, sites et applications.",TABLE,True,False,[],{},{},provider.it_audit_si.experience_capacity,1,10,,,,,BUSINESS,True,ARCHIVE_IF_REFERENCED,False,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
Q-PROV-IT-ARCHI-EXPERIENCE,PROV_SERVICE_EXPERIENCE,IT,IT-GOV,IT-ARCHI,PROVIDER_QUALIFICATION,Qualification par service,12,"Présentez votre expérience, vos références, votre équipe et votre capacité pour le service « Architecture et urbanisation du système d’information ».",Joignez des preuves et indiquez le volume maximal que vous pouvez réaliser en applications et flux.,TABLE,True,False,[],{},{},provider.it_archi.experience_capacity,1,10,,,,,BUSINESS,True,ARCHIVE_IF_REFERENCED,False,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
Q-PROV-IT-NETWORK-EXPERIENCE,PROV_SERVICE_EXPERIENCE,IT,IT-INFRA,IT-NETWORK,PROVIDER_QUALIFICATION,Qualification par service,13,"Présentez votre expérience, vos références, votre équipe et votre capacité pour le service « Conception et installation réseau LAN/Wi-Fi ».","Joignez des preuves et indiquez le volume maximal que vous pouvez réaliser en sites, zones et points réseau.",TABLE,True,False,[],{},{},provider.it_network.experience_capacity,1,10,,,,,BUSINESS,True,ARCHIVE_IF_REFERENCED,False,ACTIVE,1,MATRICIA_GOLD_MASTER_BASELINE
