service_code,library_code,subcategory_code,link_type,status
IT-AUDIT-SI,IT,IT-GOV,PRIMARY,ACTIVE
IT-ARCHI,IT,IT-GOV,PRIMARY,ACTIVE
IT-NETWORK,IT,IT-INFRA,PRIMARY,ACTIVE
IT-FIREWALL,IT,IT-INFRA,PRIMARY,ACTIVE
IT-VOIP,IT,IT-INFRA,PRIMARY,ACTIVE
IT-CYBER-AUDIT,IT,IT-CYBER,PRIMARY,ACTIVE
IT-PENTEST,IT,IT-CYBER,PRIMARY,ACTIVE
IT-SOC-MDR,IT,IT-CYBER,PRIMARY,ACTIVE
IT-SOC-MDR,IT,IT-SUPPORT,SECONDARY,ACTIVE
IT-BACKUP,IT,IT-CYBER,PRIMARY,ACTIVE
IT-BCP-DRP,IT,IT-CYBER,PRIMARY,ACTIVE
IT-CLOUD-MIG,IT,IT-CLOUD,PRIMARY,ACTIVE
IT-M365,IT,IT-CLOUD,PRIMARY,ACTIVE
IT-M365,IT,IT-SUPPORT,SECONDARY,ACTIVE
IT-WEB-SHOWCASE,IT,IT-DEV,PRIMARY,ACTIVE
IT-ECOMMERCE,IT,IT-DEV,PRIMARY,ACTIVE
IT-WEB-APP,IT,IT-DEV,PRIMARY,ACTIVE
IT-MOBILE-APP,IT,IT-DEV,PRIMARY,ACTIVE
IT-ERP-CRM,IT,IT-DEV,PRIMARY,ACTIVE
IT-ERP-CRM,IT,IT-SUPPORT,SECONDARY,ACTIVE
IT-BI,IT,IT-DATA,PRIMARY,ACTIVE
IT-AI-AUTO,IT,IT-DATA,PRIMARY,ACTIVE
IT-CCTV-IOT,IT,IT-IOT,PRIMARY,ACTIVE
COM-MKT-STRAT,COM,COM-STRAT,PRIMARY,ACTIVE
COM-BRAND,COM,COM-STRAT,PRIMARY,ACTIVE
COM-NAMING,COM,COM-STRAT,PRIMARY,ACTIVE
COM-VISUAL-ID,COM,COM-DESIGN,PRIMARY,ACTIVE
COM-GRAPHIC,COM,COM-DESIGN,PRIMARY,ACTIVE
COM-COPY,COM,COM-CONTENT,PRIMARY,ACTIVE
